timestamp,office_load_kw,logistics_load_kw,manufacturing_load_kw,ev_passenger_load_kw,ev_hgv_load_kw,total_load_kw
2024-01-01 00:00:00,10.99,19.45,203.89,0.0,0.0,234.33
2024-01-01 01:00:00,13.05,19.06,198.6,0.0,0.0,230.71
2024-01-01 02:00:00,13.16,23.07,197.18,0.0,0.0,233.41
2024-01-01 03:00:00,11.09,18.15,197.21,0.0,0.0,226.45
2024-01-01 04:00:00,10.5,12.35,189.65,0.0,0.0,212.5
2024-01-01 05:00:00,9.03,21.22,201.89,0.0,0.0,232.14
2024-01-01 06:00:00,9.33,53.31,308.79,0.0,0.0,371.43
2024-01-01 07:00:00,14.96,126.17,291.45,0.0,0.0,432.58
2024-01-01 08:00:00,25.36,126.34,293.09,91.94,0.0,536.73
2024-01-01 09:00:00,40.84,57.79,296.39,185.22,0.0,580.24
2024-01-01 10:00:00,50.13,21.04,304.94,182.15,0.0,558.26
2024-01-01 11:00:00,43.59,27.16,292.03,91.76,0.0,454.54
2024-01-01 12:00:00,33.33,35.69,299.31,22.53,0.0,390.86
2024-01-01 13:00:00,28.9,32.12,297.24,3.9,0.0,362.16
2024-01-01 14:00:00,43.86,27.95,301.94,0.0,0.0,373.75
2024-01-01 15:00:00,49.38,32.29,303.67,0.0,0.0,385.34
2024-01-01 16:00:00,44.1,30.32,294.96,0.0,0.0,369.38
2024-01-01 17:00:00,25.83,70.02,305.85,0.0,0.0,401.7
2024-01-01 18:00:00,14.46,151.63,293.36,0.0,22.77,482.22
2024-01-01 19:00:00,12.77,157.8,299.57,0.0,197.8,667.94
2024-01-01 20:00:00,10.88,66.12,302.17,0.0,534.11,913.28
2024-01-01 21:00:00,9.94,32.85,284.28,0.0,531.96,859.03
2024-01-01 22:00:00,10.17,18.8,200.55,0.0,188.83,418.35
2024-01-01 23:00:00,9.56,21.43,208.87,0.0,24.81,264.67
2024-01-02 00:00:00,8.38,17.99,205.49,0.0,0.0,231.86
2024-01-02 01:00:00,10.66,17.88,203.08,0.0,0.0,231.62
2024-01-02 02:00:00,10.19,23.87,195.79,0.0,0.0,229.85
2024-01-02 03:00:00,9.35,18.43,191.22,0.0,0.0,219.0
2024-01-02 04:00:00,10.61,21.04,200.03,0.0,0.0,231.68
2024-01-02 05:00:00,9.69,19.61,197.48,0.0,0.0,226.78
2024-01-02 06:00:00,10.46,55.75,299.03,0.0,0.0,365.24
2024-01-02 07:00:00,16.22,133.44,301.05,0.0,0.0,450.71
2024-01-02 08:00:00,26.96,125.6,288.49,91.54,0.0,532.59
2024-01-02 09:00:00,42.16,68.81,298.85,183.67,0.0,593.49
2024-01-02 10:00:00,50.09,20.6,306.86,184.12,0.0,561.67
2024-01-02 11:00:00,44.75,31.36,308.42,90.16,0.0,474.69
2024-01-02 12:00:00,33.03,43.76,294.06,22.27,0.0,393.12
2024-01-02 13:00:00,32.06,32.99,290.7,2.91,0.0,358.66
2024-01-02 14:00:00,41.05,36.89,294.48,0.0,0.0,372.42
2024-01-02 15:00:00,53.25,31.87,298.07,0.0,0.0,383.19
2024-01-02 16:00:00,43.67,21.67,301.36,0.0,0.0,366.7
2024-01-02 17:00:00,29.06,62.27,301.11,0.0,0.0,392.44
2024-01-02 18:00:00,15.93,155.5,292.58,0.0,22.4,486.41
2024-01-02 19:00:00,12.19,153.56,301.5,0.0,195.83,663.08
